,restaurant,full_address
321,OTCgRfMMM5QtqffLJzbZeQ,111 Harvard St Cambridge (MA)
322,7TStzQMNtPQIBNaIYcZ_zw,792 Main St Cambridge (MA)
323,mqDsEyybiu1yXYu3LgwbZg,284 Broadway Cambridge (MA)
324,T8DpRFty13MXLf6MB43aLg,279A Broadway Cambridge (MA)
325,7CAMlSH-UGjb5N75vN_Iww,57 John F Kennedy St Cambridge (MA)
326,BAC-9njvQzG9KekYJ2cEWg,1629 Cambridge St Cambridge (MA)
327,yr5PAGXB19P1cy9-QJ9IYA,1326 Massachusetts Ave Cambridge (MA)
328,8ju300tn3uzUvIPIvmkRWA,47 Palmer St Cambridge (MA)
329,SSmHkP0tZ4TKn_YUOEkVUg,1105 Massachusetts Ave Cambridge (MA)
330,zqfbHraCjhS5ZOT70Svn1A,145 1st St Cambridge (MA)
